,catid,parent_catid,name,display_name,level
83,11109141,11036132,Headphones,Headphones,2
84,11036670,0,Home & Living,Nhà Cửa & Đời Sống,1
85,11036683,11036670,Bedding,"Chăn, Ga, Gối & Nệm",2
86,11036695,11036670,Furniture,Đồ nội thất,2
87,11036717,11036670,Home Decoration,Trang trí nhà cửa,2
88,11036732,11036670,Tools and Home improvement,Dụng cụ & Thiết bị tiện ích,2
89,11036748,11036670,Kitchenware and food storage, Đồ dùng nhà bếp và hộp đựng thực phẩm,2
90,11036760,11036670,Lighting,Đèn,2
91,11036776,11036670,Outdoor & Garden,Ngoài trời & Sân vườn,2
92,11036671,11036670,Bathroom,Đồ dùng phòng tắm,2
93,11111670,11036670,Regilious and Worship items,Vật phẩm thờ cúng,2
94,11111669,11036670,Party supplies,Đồ trang trí tiệc,2
95,11111665,11036670,Housekeeping and Laundry,Chăm sóc nhà cửa và giặt ủi,2
96,11111668,11036670,Houseorganizers,Sắp xếp nhà cửa,2
97,11111666,11036670,Drinkware,Dụng cụ pha chế,2
98,11111664,11036670,Home Fragrance & Aromatherapy,Tinh dầu thơm phòng,2
99,11111667,11036670,Dinnerware,Đồ dùng phòng ăn,2
100,11035954,0,Computer & Accessories,Máy Tính & Laptop,1
101,11035955,11035954,Desktop Computers,Máy Tính Bàn,2
102,11035961,11035954,Monitors,Màn Hình,2
103,11035962,11035954,Desktop & Laptop Components,Linh Kiện Máy Tính,2
104,11035975,11035954,Data Storage,Thiết Bị Lưu Trữ,2
105,11035983,11035954,Network Components,Thiết Bị Mạng,2
106,11035993,11035954,"Printers, Scanners & Projectors","Máy In, Máy Scan & Máy Chiếu",2
107,11036000,11035954,Peripherals & Accessories,Phụ Kiện Máy Tính,2
108,11036015,11035954,Laptops,Laptop,2
109,11036016,11035954,Others,Khác,2
110,11036023,11035954,Gaming,Gaming,2
111,11036279,0,Beauty & Personal Care,Sắc Đẹp,1
112,11036328,11036279,Skincare,Chăm sóc da mặt,2
113,11036280,11036279,Bath & Body Care,Tắm & chăm sóc cơ thể,2
114,11036314,11036279,Makeup,Trang điểm,2
115,11036297,11036279,Hair Care,Chăm sóc tóc,2
116,11036321,11036279,Beauty Tools & Accessories,Dụng cụ & Phụ kiện Làm đẹp,2
117,11111646,11036279,Oral Care,Vệ sinh răng miệng,2
118,11036310,11036279,Perfumes & Fragrances,Nước hoa,2
119,11036304,11036279,Men's Care,Chăm sóc nam giới,2
120,11036344,11036279,Others,Khác,2
121,11111647,11036279,Feminine Care,Chăm sóc phụ nữ,2
122,11036343,11036279,Beauty Sets & Packages,Bộ sản phẩm làm đẹp,2
123,11036101,0,Cameras,Máy Ảnh & Máy Quay Phim,1
124,11036102,11036101,Cameras,Máy ảnh - Máy quay phim,2
125,11036109,11036101,Security Cameras & Systems,Camera giám sát & Camera hệ thống,2
126,11036114,11036101,Memory Cards,Thẻ nhớ,2
127,11036115,11036101,Lenses,Ống kính,2
128,11036119,11036101,Camera Accessories,Phụ kiện máy ảnh,2
129,11036129,11036101,Drones,Máy bay camera & Phụ kiện,2
130,11036345,0,Health,Sức Khỏe,1
131,11036352,11036345,Medical Supplies,Vật tư y tế,2
